codigo_oficina,oficina
226,Sumarios
227/228,SAF
229,DGD
230,Procuracion
231/232,Procuracion
233,Secretaria privada
234,Oficina Fiscal
235,Gabinete
236/237,Asesoria gral
238,Potestad Disciplinaria
239/240,Contencioso administrativo
241,Ejecuciones Fiscales
ROSARIO,Rosario
